# Languages
System.LanguagesName.EN:				영어
GMVote.NoSaved:                           저장된 투표가 없습니다.
GMVote.FoundCount:                        {0}개의 투표를 찾았습니다.
GMVote.VotingEntry:                       투표: '{0}'.
GMVote.InfoDetails:                       투표 '{0}'의 세부 정보를 확인합니다.

## Siege summoning
Siege.Summon.CannotUseHere:               이곳에서는 공성 무기를 사용할 수 없습니다!
Siege.Summon.CannotUsePortalKeep:         포털 킵에서는 공성 무기를 사용할 수 없습니다!
Siege.Summon.NeedDoorTarget:              문을 대상으로 지정해야 합니다!
Siege.Summon.TargetNotAttackable:         그 대상은 공격할 수 없습니다.
Siege.Summon.TooFar:                      {0}을(를) 공격하기에는 너무 멉니다.
Siege.Summon.TooClose:                    {0}을(를) 공격하기에는 너무 가깝습니다.
Siege.Summon.TooManyRams:                 이 지역에는 램이 너무 많아 더 소환할 수 없습니다!
Siege.Summon.TooCloseTrebuchetCatapult:   다른 트레뷰셋이나 투석기에 너무 가까워 이곳에는 소환할 수 없습니다!
NamedMob.KingTuscar.DamageHeals:          당신의 공격이 King Tuscar를 회복시키고 있습니다!
NamedMob.QueenKula.DamageHeals:           당신의 공격이 Queen Kula를 회복시키고 있습니다!

## Minotaur relics
MinotaurRelic.CantPickupLocked:           {0}을(를) 집을 수 없습니다. 잠겨 있습니다!
MinotaurRelic.CantPickupDead:             사망 상태라 {0}을(를) 집을 수 없습니다!
MinotaurRelic.OwnedBySomeoneElse:         이 렐릭은 다른 사람이 소유하고 있습니다!
MinotaurRelic.AlreadyHaveRelic:           이미 렐릭을 가지고 있습니다!
MinotaurRelic.GroupMemberHasRelic:        그룹원 중 누군가가 이미 렐릭을 가지고 있습니다!
ClassDisciple.CannotCombatShadeForm:      그림자 형상 상태에서는 전투를 시작할 수 없습니다!
UniqueItemLootGenerator.Generated:        생성됨: {0}

## GM commands
GMCommands.JumpPoint.AddUsage:            사용법: /jp add <name>
GMCommands.Walk.StopNeedsTarget:          대상 NPC의 이동을 멈추려면 /stop을 입력하세요.
GMCommands.Walk.UsageTitle:               사용법:
GMCommands.Walk.UsageSyntax:              /walk <xoff> <yoff> <zoff> <speed>
GMCommands.Walk.CommandOverview:          명령어 안내를 보려면 /walk를 입력하세요.
GMCommands.TitleGM.NeedPlayerTarget:      칭호를 변경하려면 플레이어를 대상으로 지정해야 합니다!
GMCommands.TitleGM.TitleNotFound:         '{0}' 칭호를 찾을 수 없습니다.
GMCommands.Teleport.NeedTeleportId:       텔레포트 ID를 지정해야 합니다.
GMCommands.ResetAbility.TargetReset:      {0}님이 당신의 능력 및 주문 재사용 대기시간을 초기화했습니다!
GMCommands.ResetAbility.SelfReset:        능력 및 주문 재사용 대기시간이 초기화되었습니다!
GMCommands.ResetAbility.TargetNoGroupResetSelf: 대상에게 그룹이 없어, 대신 당신의 능력 및 주문 재사용 대기시간을 초기화했습니다!
GMCommands.ResetAbility.TargetNoChatGroupResetSelf: 대상에게 채팅 그룹이 없어, 대신 당신의 능력 및 주문 재사용 대기시간을 초기화했습니다!
GMCommands.ResetAbility.TargetNoBattleGroupResetSelf: 대상에게 배틀그룹이 없어, 대신 당신의 능력 및 주문 재사용 대기시간을 초기화했습니다!
GMCommands.ResetAbility.InvalidArgument:  '{0}'은(는) 올바른 인자가 아닙니다.
GMCommands.SpamMob.CreateInstanceError:   {0} 인스턴스를 생성하는 중 오류가 발생했습니다!
GMCommands.Path.CreationStarted:          경로 생성을 시작했습니다! 이제 /path add로 경로 지점을 추가할 수 있습니다.
GMCommands.Object.CommandOverview:        명령어 안내를 보려면 /object를 입력하세요.
GMCommands.NPC.NeedNpcTarget:             NPC를 대상으로 지정해야 합니다.
GMCommands.NPC.UsageSay:                  사용법: /npc say <message>
GMCommands.NPC.UsageYell:                 사용법: /npc yell <message>
GMCommands.NPC.UsageAction:               사용법: /npc action <action message>
GMCommands.NPC.UsageEmote:                사용법: /npc emote <emote>
GMCommands.NPC.UsageWalkTo:               사용법: /npc walkto <targetname> [speed]
GMCommands.NPC.NameNotFoundNearTarget:    대상 근처에서 {0} 이름을 찾을 수 없습니다.
GMCommands.NPC.WalkingToYourLocation:     대상이 당신의 위치로 이동합니다!
GMCommands.NPC.UsageFace:                 사용법: /npc face <targetname>
GMCommands.NPC.UsageFollow:               사용법: /npc follow <targetname>
GMCommands.NPC.UsageStopFollow:           사용법: /npc stopfollow
GMCommands.NPC.UsageTarget:               사용법: /npc target <targetName>
GMCommands.NPC.NowTargets:                {0}이(가) 이제 {1}을(를) 대상으로 지정합니다.
GMCommands.NPC.UsageCast:                 사용법: /npc cast <spellLine> <spellID>
GMCommands.NPC.CastNeedsTarget:           시전하려면 NPC에게 대상이 지정되어 있어야 합니다.
GMCommands.NPC.NoSpellsFoundInLine:       {0} 라인에서 주문을 찾을 수 없습니다!
GMCommands.NPC.SpellNotFoundInDb:         ID {0} 주문을 데이터베이스에서 찾을 수 없습니다!
GMCommands.NPC.UsageWeapon:               사용법: /npc weapon <activeWeaponSlot>
GMCommands.NPC.ActiveWeaponSlotRange:     activeWeaponSlot은 0에서 2 사이여야 합니다.
GMCommands.NPC.NowUsesWeapon:             {0}이(가) 이제 {1} 무기로 공격합니다.
GMCommands.NPC.CommandOverview:           명령어 안내를 보려면 /npc를 입력하세요.
GMCommands.Mob.CannotUseTarget:           {0} 대상에는 /mob 명령을 사용할 수 없습니다.
GMCommands.Mob.CreateInstanceError:       {0} 인스턴스를 생성하는 중 오류가 발생했습니다!
GMCommands.Mob.Created:                   몹 생성 완료: OID={0}
GMCommands.Mob.CreatedWithPeaceFlag:      몹이 PEACE 플래그가 켜진 상태로 생성되어 공격할 수 없습니다. 해제하려면 /mob peace를 사용하세요.
GMCommands.Mob.CreatedMany:               몹 {0}마리를 생성했습니다.
GMCommands.Mob.HighestModelReached:       더 높은 몹 모델이 없습니다!
GMCommands.Mob.ModelChanged:              몹 모델을 {0}(으)로 변경했습니다.
GMCommands.Mob.ModelCannotBeZero:         몹 모델은 0이 될 수 없습니다!
GMCommands.Mob.NoObjectWithOidInRegion:   현재 지역에서 OID {0} 오브젝트를 찾을 수 없습니다.
GMCommands.Mob.ObjectNotGameNpc:          오브젝트 {0}은(는) {1}이며 GameNPC가 아닙니다.
GMCommands.Mob.SizeChanged:               몹 크기를 {0}(으)로 변경했습니다.
GMCommands.Mob.NameChanged:               몹 이름을 {0}(으)로 변경했습니다.
GMCommands.Mob.CannotSetSuffixForMovingObjects: GameMovingObject에는 접미사를 설정할 수 없습니다.
GMCommands.Mob.SuffixChanged:             몹 접미사를 {0}(으)로 변경했습니다.
GMCommands.Mob.GuildChanged:              몹 길드를 {0}(으)로 변경했습니다.
GMCommands.Mob.GuildRemoved:              몹 길드를 제거했습니다.
GMCommands.Mob.ChangeMovingObjectExamineArticleInCode: GameMovingObject의 기본 언어 조사 관사는 코드 또는 데이터베이스에서 변경하세요. 다른 언어의 조사 관사를 설정하려면 /translate examinearticle <language> <examine article>을 사용하세요.
GMCommands.Mob.ExamineArticleChanged:     몹 조사 관사를 {0}(으)로 변경했습니다.
GMCommands.Mob.ChangeMovingObjectMessageArticleInCode: GameMovingObject의 기본 언어 메시지 관사는 코드 또는 데이터베이스에서 변경하세요. 다른 언어의 메시지 관사를 설정하려면 /translate messagearticle <language> <message article>을 사용하세요.
GMCommands.Mob.MessageArticleChanged:     몹 메시지 관사를 {0}(으)로 변경했습니다.
GMCommands.Mob.FlagSet:                   몹 {0} 플래그가 {1}(으)로 설정되었습니다.
GMCommands.Mob.AggroChanged:              몹 어그로를 {0}(으)로 변경했습니다.
GMCommands.Mob.NoAggressiveBrain:         선택한 몹에는 공격형 브레인이 없습니다.
GMCommands.Mob.RaceIs:                    {0}의 종족은 {1}입니다.
GMCommands.Mob.RaceResistsReloaded:       데이터베이스에서 종족 저항값을 다시 불러왔습니다.
GMCommands.Mob.NoRaceFoundNamed:          {0} 이름의 종족을 찾을 수 없습니다.
GMCommands.Mob.RaceSet:                   {0}의 종족을 {1}(으)로 설정했습니다.
GMCommands.Mob.AggroRangeChanged:         몹 어그로 범위를 {0}(으)로 변경했습니다.
GMCommands.Mob.RoamingRangeChanged:       몹 배회 범위를 {0}(으)로 변경했습니다.
GMCommands.Mob.DamageTypeChanged:         몹 피해 유형을 {0}(으)로 변경했습니다.
GMCommands.Mob.MovedToYourLocation:       대상 몹 '{0}'을(를) 당신의 위치로 이동했습니다!
GMCommands.Mob.RemovedLootTemplates:      {0}의 MobXLootTemplate 및 LootTemplate 항목을 데이터베이스에서 삭제했습니다.
GMCommands.Mob.RemovedFromDb:             대상 몹을 데이터베이스에서 삭제했습니다.
GMCommands.Mob.FlagsSet:                  몹 플래그가 {0}(으)로 설정되었습니다.
GMCommands.Mob.StatueNeedsDebug:          STATUE 플래그를 설정했습니다. 이 NPC를 대상으로 지정하려면 /debug on을 사용하세요.
GMCommands.Mob.NamedFlagSet:              {0}의 {1} 플래그가 {2}(으)로 설정되었습니다.
GMCommands.Mob.Killed:                    몹 '{0}'을(를) 처치했습니다.
GMCommands.Mob.Healed:                    몹 '{0}'을(를) 회복했습니다. ({1}/{2})
GMCommands.Mob.RealmChanged:              몹 렐름을 {0}(으)로 변경했습니다.
GMCommands.Mob.MaxSpeedChanged:           몹 최대 속도를 {0}(으)로 변경했습니다.
GMCommands.Mob.LevelChanged:              몹 레벨을 {0}(으)로 변경했습니다.
GMCommands.Mob.LevelChangedStatsAdjusted: 몹 레벨을 {0}(으)로 변경하고 능력치를 조정했습니다.
GMCommands.Mob.StatsAdjustedToLevel:      몹 능력치를 레벨 {0}에 맞게 조정했습니다.
GMCommands.Mob.BrainNotFound:             {0} 브레인을 찾을 수 없습니다. 철자와 스크립트 네임스페이스를 확인하세요. 대소문자를 구분합니다.
GMCommands.Mob.BrainSet:                  {0}의 브레인을 {1}(으)로 설정했습니다.
GMCommands.Mob.RespawnIntervalChanged:    몹 리스폰 간격을 {0}(으)로 변경했습니다.
GMCommands.Mob.NoQuests:                  이 몹에는 퀘스트가 없습니다.
GMCommands.Mob.ScriptedQuestsHeader:      스크립트 퀘스트: ------------------------
GMCommands.Mob.QuestName:                 퀘스트 이름: [{0}]
GMCommands.Mob.DataQuestsHeader:          데이터 퀘스트: ----------------------------
GMCommands.Mob.DataQuestName:             퀘스트 이름: [{0}] : {1}
GMCommands.Mob.DataQuestsLoaded:          이 몹에 데이터 퀘스트 {0}개를 불러왔습니다.
GMCommands.Mob.InventoryNotFound:         몹 인벤토리를 찾을 수 없습니다.
GMCommands.Mob.SlotDescription:           슬롯 설명 : [{0}]
GMCommands.Mob.EquipmentSlot:                     슬롯: {0}
GMCommands.Mob.EquipmentModel:                    모델: {0}
GMCommands.Mob.EquipmentColor:                    색상: {0}
GMCommands.Mob.EquipmentEffect:                   효과: {0}
GMCommands.Mob.EquipmentCleared:          몹 장비를 초기화했습니다.
GMCommands.Mob.InventoryAlreadySet:       대상 몹 인벤토리가 {0}(으)로 설정되어 있습니다. 먼저 제거하세요.
GMCommands.Mob.InventoryTemplateCreated:  인벤토리 템플릿을 생성했습니다.
GMCommands.Mob.NotUsingInventoryTemplate: 대상 몹이 GameNpcInventoryTemplate을 사용하고 있지 않습니다.
GMCommands.Mob.ErrorLoadingEquipmentTemplate: 장비 템플릿 "{0}"을(를) 불러오는 중 오류가 발생했습니다.
GMCommands.Mob.EquipmentLoaded:           몹 장비를 불러왔습니다!
GMCommands.Mob.NoSuchSlotUseName:         해당 슬롯을 사용할 수 없습니다. distance, torso, cloak 같은 슬롯 이름을 사용하세요.
GMCommands.Mob.CouldNotAddItemToSlot:     슬롯 {0}에 새 아이템을 추가할 수 없습니다. 템플릿이 닫혀 있을 수 있습니다.
GMCommands.Mob.ItemAddedToInventoryTemplate: 몹 인벤토리 템플릿에 아이템을 추가했습니다.
GMCommands.Mob.NoSuchSlot:                해당 슬롯을 사용할 수 없습니다!
GMCommands.Mob.CouldNotRemoveItemFromSlot: 슬롯 {0}에서 아이템을 제거할 수 없습니다. 템플릿이 닫혀 있을 수 있습니다.
GMCommands.Mob.InventoryTemplateSlotCleaned: 몹 인벤토리 템플릿 슬롯 {0}을(를) 비웠습니다!
GMCommands.Mob.TemplateAlreadyClosed:     템플릿이 이미 닫혀 있습니다.
GMCommands.Mob.InventoryTemplateClosed:   인벤토리 템플릿을 정상적으로 닫았습니다.
GMCommands.Mob.TemplateAlreadyExists:     '{0}' 이름의 템플릿이 이미 있습니다. 덮어쓰려면 'replace' 매개변수를 사용하세요.
GMCommands.Mob.ErrorSavingTemplate:       {0} 이름의 템플릿을 저장하는 중 오류가 발생했습니다.
GMCommands.Mob.EquipmentTemplateSavedAs:  대상 몹 장비 템플릿을 '{0}' 이름으로 저장했습니다.
GMCommands.Mob.BadVisibleSlot:            잘못된 슬롯입니다. right, left, two, distance 같은 이름을 사용하세요.
GMCommands.Mob.InvalidWeaponSlot:         잘못된 슬롯입니다. 무기 슬롯이어야 합니다. (right, left, two, distance)
GMCommands.Mob.VisibleWeaponSlotSet:      표시 무기 슬롯을 {0}(으)로 설정했습니다.
GMCommands.Mob.DropsItems:                몹 '{0}'은(는) 아이템 {1}개를 드롭합니다.
GMCommands.Mob.WillDropMaxItems:          몹 '{0}'은(는) 최대 {1}개의 아이템을 드롭합니다!
GMCommands.Mob.CannotAddMissingItem:      아이템이 존재하지 않아 {0}을(를) {1}에 추가할 수 없습니다.
GMCommands.Mob.ItemTemplateNotFound:      ItemTemplate {0}을(를) 찾을 수 없습니다!
GMCommands.Mob.LootAddedWithChance:       {0}을(를) {1}의 루트 목록에 성공적으로 추가했습니다. 드롭 확률: {2}%
GMCommands.Mob.LootAddedWithDropCount:    {0}을(를) {1}의 루트 목록에 성공적으로 추가했습니다. 드롭 개수: {2}
GMCommands.Mob.UseDropcountToLimitDrops:  이 몹의 처치당 최대 드롭 수를 제한하려면 /mob dropcount <max num drops>로 MobXLootTemplate 항목을 추가하세요.
GMCommands.Mob.DropLimitExists:           이 몹에는 MobXLootTemplate 항목이 있으며, 처치당 총 드롭 수를 {0}(으)로 제한합니다.
GMCommands.Mob.ItemAlreadyInOtdList:      ItemTemplate {0}은(는) 이미 {1}의 OTD 목록에 있습니다!
GMCommands.Mob.AddedToOtdList:            {0}을(를) {1}의 일회성 드롭 목록에 성공적으로 추가했습니다.
GMCommands.Mob.LootTableTitle:            [ {0}의 루트 테이블 ]
GMCommands.Mob.ErrorItemNotFound:         오류, 아이템을 찾을 수 없습니다: {0}
GMCommands.Mob.OneTimeDropsTitle:         {0}의 일회성 드롭
GMCommands.Mob.RemovedAllItemsFrom:       {0}에서 모든 아이템을 제거했습니다.
GMCommands.Mob.NoItemsFoundOn:            {0}에서 아이템을 찾을 수 없습니다.
GMCommands.Mob.ItemRemovedFrom:           {0}을(를) {1}에서 제거했습니다.
GMCommands.Mob.ItemDoesNotExistOn:        {0}은(는) {1}에 없습니다.
GMCommands.Mob.OtdRemovedFrom:            {0} OTD를 {1}에서 제거했습니다.
GMCommands.Mob.OtdDoesNotExistOn:         {0} OTD는 {1}에 없습니다.
GMCommands.Mob.CannotCreateBrainUsingStandard: 브레인을 생성할 수 없어 기본 브레인을 적용합니다.
GMCommands.Mob.ClassChanged:              몹 클래스를 변경했습니다: OID={0}
GMCommands.Mob.UnableToFindNamed:         {0} 이름의 몹을 찾을 수 없습니다.
GMCommands.Mob.NeedMobTargetToCopy:       복사할 몹을 대상으로 지정해야 합니다.
GMCommands.Mob.PeaceFlagSet:              이 몹에는 PEACE 플래그가 설정되어 있습니다!
GMCommands.Mob.NoTemplateFound:           {0} 템플릿을 찾을 수 없습니다.
GMCommands.Mob.CreatedNpcFromTemplate:    템플릿 {0}을(를) 기반으로 NPC를 생성했습니다.
GMCommands.Mob.UpdatedNpcFromTemplate:    템플릿 {0}을(를) 기반으로 NPC를 갱신했습니다.
GMCommands.Mob.NeedMobSelectedForTemplate: 템플릿을 만들려면 몹을 선택해야 합니다.
GMCommands.Mob.TemplateIdAlreadyExists:   ID {0} 템플릿이 이미 있습니다.
GMCommands.Mob.NpcTemplateSaved:          NPCTemplate을 ID {0}(으)로 저장했습니다.
GMCommands.Mob.PathDoesNotExist:          지정한 경로가 존재하지 않습니다.
GMCommands.Mob.PathAssigned:              이 몹에 경로를 지정했습니다.
GMCommands.Mob.HouseChanged:              몹 하우스를 {0}(으)로 변경했습니다.
GMCommands.Mob.HouseDoesNotExist:         하우스 번호 {0}은(는) 존재하지 않습니다.
GMCommands.Mob.StatChanged:               몹 {0}을(를) {1}(으)로 변경했습니다.
GMCommands.Mob.ScriptLoadedStatsVolatile: 이 몹은 스크립트에서 불러온 몹이라 능력치 변경을 저장할 수 없습니다.
GMCommands.Mob.TetherRangeChanged:        몹 테더 범위를 {0}(으)로 변경했습니다.
GMCommands.Mob.TemplateSettingPermanentNote: 이 설정은 임시입니다. 영구 적용하려면 이 NPC의 템플릿에 설정하세요.
GMCommands.Mob.BodyTypeChanged:           몹 BodyType을 {0}(으)로 변경했습니다.
GMCommands.Mob.GenderChanged:             몹 성별을 {0}(으)로 변경했습니다.
GMCommands.Mob.PackageIdSet:              PackageID를 {0}(으)로 설정했습니다.
GMCommands.Mob.OwnerIdSet:                OwnerID를 {0}(으)로 설정했습니다.
GMCommands.Mob.NameLengthWarning:         경고: 이름 길이={0}, 처음 47자만 표시됩니다.
GMCommands.Mob.GuildNameLengthWarning:    경고: 길드 이름 길이={0}, 처음 47자만 표시됩니다.
GMCommands.Mob.AutoSelectNothingInRange:  NPC를 자동 선택할 수 없습니다. 범위 안에 대상이 없습니다.
GMCommands.Mob.AutoSelected:              OID {0} 몹을 자동 선택했습니다.
GMCommands.Mob.Reloaded:                  {0}을(를) 다시 불러왔습니다!
GMCommands.Mob.ScriptLoadedCannotReload:  {0}은(는) 스크립트에서 불러온 몹이라 다시 불러올 수 없습니다!
GMCommands.Mob.MobIdLoaded:               Mob_ID {0}을(를) 데이터베이스에서 불러왔습니다.
GMCommands.Mob.AddedToWorldDuplicateWarning: 몹 {0}을(를) 월드에 추가했습니다. 중복 몹일 수 있으니 주의하세요. 원본을 제거하면 데이터베이스에서도 삭제됩니다!
GMCommands.Mob.MobIdNotFound:             Mob_ID {0}을(를) 찾을 수 없습니다.
GMCommands.Mob.NoMatchesFound:            일치하는 항목이 없습니다.
GMCommands.Mob.NeedValidTarget:           올바른 대상이 필요합니다!
GMCommands.Mob.StateWindowTitle:          몹 상태
GMCommands.Mob.TriggerInvalidType:        올바른 트리거 유형을 지정해야 합니다: spawning, aggroing, dying, fighting, moving, roaming, seeing, interact.
GMCommands.Mob.TriggerExampleShort:       예: dying 0 내가 죽을 때 할 말입니다!
GMCommands.Mob.TriggerInvalidChanceEmote: 올바른 확률/감정표현 번호를 지정해야 합니다.
GMCommands.Mob.TriggerMissingText:        트리거에 사용할 문장을 지정해야 합니다.
GMCommands.Mob.TriggerAdded:              {0} 이름의 몹이 {1} 상태일 때 사용할 트리거를 추가했습니다.
GMCommands.Mob.TriggerUseInfoFirst:       이 명령을 사용하기 전에 '/mob trigger info'를 먼저 사용해야 합니다!
GMCommands.Mob.TriggerRemoved:            트리거 "{0}, 확률: {1}, 음성: {2}, 감정표현: {3}, 문장: {4}"을(를) 제거했습니다.
GMCommands.Mob.TriggersTitle:             {0}의 트리거:
GMCommands.Mob.TriggerHelpIntro:          trigger 명령은 몹이 생성, 어그로, 전투, 사망할 때 말할 문장을 추가합니다.
GMCommands.Mob.TriggerHelpScope:          트리거는 같은 이름을 가진 모든 몹에 적용됩니다. 같은 몹 이름에는 여러 트리거와 유형을 넣을 수 있습니다.
GMCommands.Mob.TriggerHelpKeywords:       aggro와 die 트리거는 {targetname}, {class}, {race}, {sourcename}, {controller} 키워드를 사용할 수 있습니다.
GMCommands.Mob.TriggerHelpExample1:       예: /mob trigger aggroing 50 10 내가 어그로를 끌 때 50% 확률로 할 말입니다!
GMCommands.Mob.TriggerHelpExample2:       예: /mob trigger dying 100 5 내가 죽을 때 할 말입니다!
GMCommands.Mob.TriggerHelpExample3:       예: /mob trigger aggroing 100 0 {y}너 같은 {class}는 정말 싫다!
GMCommands.Mob.TriggerHelpExample4:       예: /mob trigger roaming 5 12 죽을 준비를 해라, {targetname}!
GMCommands.Mob.TriggerHelpExample5:       예: /mob trigger aggroing 5 0 {b}어린 {sourcename}였을 때부터 이 순간을 기다려 왔다!
GMCommands.Mob.TriggerHelpUsageAdd:       사용법: '/mob trigger <type(dying|aggroing|spawning|fighting|killing|roaming|interact)> <percentChance> <emote {0 for no emote}> <sentence>'
GMCommands.Mob.TriggerHelpUsageInfo:      사용법: '/mob trigger info' - 선택한 몹/NPC의 ambient trigger 정보를 표시합니다.
GMCommands.Mob.TriggerHelpUsageRemove:    사용법: '/mob trigger remove <id>' 트리거를 제거합니다.
GMCommands.Player.DuplicateName:          이미 사용 중인 이름입니다!
GMCommands.Player.TargetNameChanged:      {0} (권한 레벨: {1})님이 당신의 이름을 {2}(으)로 변경했습니다!
GMCommands.Player.NameChanged:            이 플레이어의 이름을 {0}(으)로 변경했습니다!
GMCommands.Player.RelogToCompleteNameChange: 변경을 완료하려면 대상 플레이어에게 로그아웃 후 다시 접속하라고 안내하세요.
GMCommands.Player.TargetLastnameChanged:  {0} (권한 레벨: {1})님이 당신의 성을 {2}(으)로 변경했습니다!
GMCommands.Player.LastnameChanged:        {0}의 성을 {1}(으)로 변경했습니다!
GMCommands.Player.LastnameCleared:        {0}의 성을 삭제했습니다!
GMCommands.Player.TargetLastnameCleared:  {0} (권한 레벨: {1})님이 당신의 성을 삭제했습니다!
GMCommands.Player.GaveFreeLevel:          {0}에게 무료 레벨을 지급했습니다!
GMCommands.Player.TargetGivenFreeLevel:   {0} (권한 레벨: {1})님이 당신에게 무료 레벨을 지급했습니다!
GMCommands.Player.GaveFreeHalfLevel:      {0}에게 무료 반 레벨을 지급했습니다!
GMCommands.Player.TargetGivenFreeHalfLevel: {0} (권한 레벨: {1})님이 당신에게 무료 반 레벨을 지급했습니다!
GMCommands.Player.LevelRange:             {0}의 레벨은 1에서 255 사이로만 설정할 수 있습니다!
GMCommands.Player.ResetPlayer:            {0}을(를) 초기화했습니다!
GMCommands.Player.TargetResetSkills:      {0} (권한 레벨: {1})님이 당신의 스킬을 재특화하고 특화 포인트를 초기화했습니다!
GMCommands.Player.LevelChanged:           {0}의 레벨을 {1}(으)로 변경했습니다!
GMCommands.Player.TargetLevelChanged:     {0} (권한 레벨: {1})님이 당신의 레벨을 {2}(으)로 변경했습니다!
GMCommands.Player.ChampionStarted:        {0}이(가) 챔피언의 길을 시작했습니다!
GMCommands.Player.TargetChampionStarted:  {0} (권한 레벨: {1})님이 당신을 챔피언의 길에 올렸습니다!
GMCommands.Player.ChampionAlreadyStarted: {0}은(는) 이미 챔피언의 길을 걷고 있습니다!
GMCommands.Player.ChampionLevelsCleared:  {0}의 챔피언 레벨을 초기화했습니다!
GMCommands.Player.TargetChampionLevelsCleared: {0} (권한 레벨: {1})님이 당신의 챔피언 레벨을 초기화했습니다!
GMCommands.Player.ChampionLevelsRespecced: {0}의 챔피언 레벨을 재특화했습니다!
GMCommands.Player.TargetChampionLevelsRespecced: {0} (권한 레벨: {1})님이 당신의 챔피언 레벨을 재특화했습니다!
GMCommands.Player.MasterLevelTrainingStarted: {0}이(가) 마스터 레벨 훈련을 시작할 준비가 되었습니다!
GMCommands.Player.TargetMasterLevelTrainingStarted: {0} (권한 레벨: {1})님이 당신의 마스터 레벨 훈련을 시작했습니다!
GMCommands.Player.MasterLevelTrainingAlreadyStarted: {0}은(는) 이미 마스터 레벨 훈련을 시작했습니다!
GMCommands.Player.MasterLevelSet:         {0}의 마스터 레벨을 {1}(으)로 설정했습니다!
GMCommands.Player.TargetMasterLevelSet:   {0} (권한 레벨: {1})님이 당신의 마스터 레벨을 {2}(으)로 설정했습니다!
GMCommands.Player.MasterLineSet:          {0}의 마스터 라인을 {1}(으)로 설정했습니다!
GMCommands.Player.TargetMasterLineSet:    {0} (권한 레벨: {1})님이 당신의 마스터 라인을 {2}(으)로 설정했습니다!
GMCommands.Player.MasterLevelsAlreadyFinished: {0}은(는) 이미 모든 마스터 레벨을 완료했습니다!
GMCommands.Player.ValidMasterLevels:      올바른 레벨 범위는 0 - {0}입니다!
GMCommands.Player.MasterStepAlreadyFinished: {0}은(는) 이미 마스터 레벨 {2}의 {1}단계를 완료했습니다!
GMCommands.Player.MasterStepNotFinished:  {0}은(는) 아직 마스터 레벨 {2}의 {1}단계를 완료하지 않았습니다!
GMCommands.Player.MasterStepSetFinished:  {0}이(가) 이제 마스터 레벨 {2}의 {1}단계를 완료했습니다!
GMCommands.Player.TargetMasterStepSetFinished: {0} (권한 레벨: {1})님이 마스터 레벨 {3}의 {2}단계를 완료로 설정했습니다!
GMCommands.Player.MasterStepSetUnfinished: {0}이(가) 더 이상 마스터 레벨 {2}의 {1}단계를 완료한 상태가 아닙니다!
GMCommands.Player.TargetMasterStepSetUnfinished: {0} (권한 레벨: {1})님이 마스터 레벨 {3}의 {2}단계를 미완료로 설정했습니다!
GMCommands.Player.RealmRange:             {0}의 렐름은 0-3 사이 숫자로만 설정할 수 있습니다!
GMCommands.Player.RealmChanged:           {0}의 렐름을 {1}(으)로 변경했습니다!
GMCommands.Player.TargetRealmChanged:     {0}님이 당신의 렐름을 {1}(으)로 변경했습니다!
GMCommands.Player.ModelReset:             {0}의 모델을 원래 생성 모델로 되돌렸습니다.
GMCommands.Player.TargetModelReset:       {0} (권한 레벨: {1})님이 당신의 모델을 원래 생성 모델로 되돌렸습니다.
GMCommands.Player.ModelChanged:           {0}의 외형을 변경했습니다. (ID: #{1})
GMCommands.Player.TargetModelChanged:     {0} (권한 레벨: {1})님이 당신의 외형을 변경했습니다. (ID: #{2})
GMCommands.Player.MoneyGiven:             {0}에게 {1}을(를) 지급했습니다.
GMCommands.Player.TargetMoneyGiven:       {0} (권한 레벨: {1})님이 당신에게 {2}을(를) 지급했습니다.
GMCommands.Player.Currency.Copper:        코퍼
GMCommands.Player.Currency.Silver:        실버
GMCommands.Player.Currency.Gold:          골드
GMCommands.Player.Currency.Platinum:      플래티넘
GMCommands.Player.Currency.Mithril:       미스릴
GMCommands.Player.PointsGiven:            {0}에게 {1} {2}을(를) 지급했습니다.
GMCommands.Player.TargetPointsGiven:      {0} (권한 레벨: {1})님이 당신에게 {2} {3}을(를) 지급했습니다.
GMCommands.Player.Point.RealmPoints:      렐름 포인트
GMCommands.Player.Point.Experience:       경험치
GMCommands.Player.Point.ChampionExperience: 챔피언 경험치
GMCommands.Player.Point.MLExperience:     마스터 레벨 경험치
GMCommands.Player.Point.BountyPoints:     바운티 포인트
GMCommands.Player.ChampionLevelReached:   챔피언 레벨 {0}에 도달했습니다!
GMCommands.Player.StatGiven:              {0}에게 {1} {2}을(를) 지급했습니다.
GMCommands.Player.TargetStatGiven:        {0} (권한 레벨: {1})님이 당신에게 {2} {3}을(를) 지급했습니다.
GMCommands.Player.Stat.Dexterity:         민첩
GMCommands.Player.Stat.Strength:          힘
GMCommands.Player.Stat.Constitution:      체력
GMCommands.Player.Stat.Empathy:           공감
GMCommands.Player.Stat.Intelligence:      지능
GMCommands.Player.Stat.Piety:             신앙
GMCommands.Player.Stat.Quickness:         순발
GMCommands.Player.Stat.Charisma:          매력
GMCommands.Player.Stat.All:               모든 능력치
GMCommands.Player.StatTypeUsage:          스탯 유형은 dex, str, con, emp, int, pie, qui, cha, all 중 하나를 사용하세요.
GMCommands.Player.NeedValidTarget:        올바른 대상이 필요합니다!
GMCommands.Player.FriendListTitle:        {0}의 친구 목록
GMCommands.Player.TargetFriendRemoved:    {0} (권한 레벨: {1})님이 당신의 친구 목록에서 {2}을(를) 제거했습니다!
