# Languages
System.LanguagesName.EN:				English
GMCommands.Mob.MobIdLoaded:               Mob_ID {0} loaded from the database.
GMCommands.Mob.AddedToWorldDuplicateWarning: Mob {0} added to the world. Use care if this is a duplicate; removing the original will delete the mob from the database!
GMCommands.Mob.MobIdNotFound:             Mob_ID {0} not found.
GMCommands.Mob.NoMatchesFound:            No matches found.
GMCommands.Mob.NeedValidTarget:           You need a valid target!
GMCommands.Mob.StateWindowTitle:          Mob State
GMCommands.Mob.TriggerInvalidType:        You must specify a proper trigger type: spawning, aggroing, dying, fighting, moving, roaming, seeing, or interact.
GMCommands.Mob.TriggerExampleShort:       Example: dying 0 This is what I will say when I die!
GMCommands.Mob.TriggerInvalidChanceEmote: You must specify a valid chance percent/emote number.
GMCommands.Mob.TriggerMissingText:        You must specify some text for the trigger.
GMCommands.Mob.TriggerAdded:              Trigger added to mobs named {0} when they are {1}.
GMCommands.Mob.TriggerUseInfoFirst:       You must use '/mob trigger info' before using this command!
GMCommands.Mob.TriggerRemoved:            Trigger: "{0}, chance: {1}, voice: {2}, emote: {3}, text: {4}" has been removed.
GMCommands.Mob.TriggersTitle:             {0}'s triggers:
GMCommands.Mob.TriggerHelpIntro:          The trigger command lets you add sentences for the mob to say when it spawns, aggros, fights, or dies.
GMCommands.Mob.TriggerHelpScope:          Triggers apply to all mobs with the same mob name. Each mob name can have multiple triggers and trigger types.
GMCommands.Mob.TriggerHelpKeywords:       Aggro and die triggers allow {{targetname}}, {{class}}, {{race}}, {{sourcename}}, and {{controller}} keywords.
GMCommands.Mob.TriggerHelpExample1:       Ex: /mob trigger aggroing 50 10 This is what I'll say 50% time when I aggro!
GMCommands.Mob.TriggerHelpExample2:       Ex: /mob trigger dying 100 5 This is what I'll say when I die!
GMCommands.Mob.TriggerHelpExample3:       Ex: /mob trigger aggroing 100 0 {{y}}I really hate {{class}}'s like you!
GMCommands.Mob.TriggerHelpExample4:       Ex: /mob trigger roaming 5 12 Prepare to die {{targetname}}!
GMCommands.Mob.TriggerHelpExample5:       Ex: /mob trigger aggroing 5 0 {{b}}I've been waiting for this moment ever since I was a young {{sourcename}}!
GMCommands.Mob.TriggerHelpUsageAdd:       Usage: '/mob trigger <type(dying|aggroing|spawning|fighting|killing|roaming|interact)> <percentChance> <emote {{0 for no emote}}> <sentence>'
GMCommands.Mob.TriggerHelpUsageInfo:      Usage: '/mob trigger info' - Give information regarding a selected mob/NPC's ambient trigger(s).
GMCommands.Mob.TriggerHelpUsageRemove:    Usage: '/mob trigger remove <id>' Remove a trigger.
GMCommands.Player.DuplicateName:          Duplicate name!
GMCommands.Player.TargetNameChanged:      {0} (PrivLevel: {1}) has changed your name to {2}!
GMCommands.Player.NameChanged:            You successfully changed this player's name to {0}!
GMCommands.Player.RelogToCompleteNameChange: Tell the player to log out and back in to complete the change.
GMCommands.Player.TargetLastnameChanged:  {0} (PrivLevel: {1}) has changed your lastname to {2}!
GMCommands.Player.LastnameChanged:        You successfully changed {0}'s lastname to {1}!
GMCommands.Player.LastnameCleared:        You cleared {0}'s lastname successfully!
GMCommands.Player.TargetLastnameCleared:  {0} (PrivLevel: {1}) has cleared your lastname!
GMCommands.Player.GaveFreeLevel:          You gave {0} a free level!
GMCommands.Player.TargetGivenFreeLevel:   {0} (PrivLevel: {1}) has given you a free level!
GMCommands.Player.GaveFreeHalfLevel:      You gave {0} a free half level!
GMCommands.Player.TargetGivenFreeHalfLevel: {0} (PrivLevel: {1}) has given you a free half level!
GMCommands.Player.LevelRange:             {0}'s level can only be set to a number from 1 to 255!
GMCommands.Player.ResetPlayer:            You have reset {0}!
GMCommands.Player.TargetResetSkills:      {0} (PrivLevel: {1}) has respecced your skills and reset your spec points!
GMCommands.Player.LevelChanged:           You changed {0}'s level successfully to {1}!
GMCommands.Player.TargetLevelChanged:     {0} (PrivLevel: {1}) has changed your level to {2}!
GMCommands.Player.ChampionStarted:        {0} is now on the path of the Champion!
GMCommands.Player.TargetChampionStarted:  {0} (PrivLevel: {1}) has started you on the path of the Champion!
GMCommands.Player.ChampionAlreadyStarted: {0} is already on the path of the Champion!
GMCommands.Player.ChampionLevelsCleared:  You have cleared {0}'s Champion levels!
GMCommands.Player.TargetChampionLevelsCleared: {0} (PrivLevel: {1}) has cleared your Champion levels!
GMCommands.Player.ChampionLevelsRespecced: You have respecced {0}'s Champion levels!
GMCommands.Player.TargetChampionLevelsRespecced: {0} (PrivLevel: {1}) has respecced your Champion levels!
GMCommands.Player.MasterLevelTrainingStarted: {0} is now ready to start Master Level training!
GMCommands.Player.TargetMasterLevelTrainingStarted: {0} (PrivLevel: {1}) has started your Master Level training!
GMCommands.Player.MasterLevelTrainingAlreadyStarted: {0} has already started Master Level training!
GMCommands.Player.MasterLevelSet:         {0}'s Master Level is set to {1}!
GMCommands.Player.TargetMasterLevelSet:   {0} (PrivLevel: {1}) has set your Master Level to {2}!
GMCommands.Player.MasterLineSet:          {0}'s Master Line is set to {1}!
GMCommands.Player.TargetMasterLineSet:    {0} (PrivLevel: {1}) has set your Master Line to {2}!
GMCommands.Player.MasterLevelsAlreadyFinished: {0} has already finished all Master Levels!
GMCommands.Player.ValidMasterLevels:      Valid levels are 0 - {0}!
GMCommands.Player.MasterStepAlreadyFinished: {0} has already finished step {1} for Master Level {2}!
GMCommands.Player.MasterStepNotFinished:  {0} has not yet finished step {1} for Master Level {2}!
GMCommands.Player.MasterStepSetFinished:  {0} has now finished step {1} for Master Level {2}!
GMCommands.Player.TargetMasterStepSetFinished: {0} (PrivLevel: {1}) has set step {2} completed for Master Level {3}!
GMCommands.Player.MasterStepSetUnfinished: {0} has no longer finished step {1} for Master Level {2}!
GMCommands.Player.TargetMasterStepSetUnfinished: {0} (PrivLevel: {1}) has set step {2} as unfinished for Master Level {3}!
GMCommands.Player.RealmRange:             {0}'s realm can only be set to numbers 0-3!
GMCommands.Player.RealmChanged:           You changed {0}'s realm to {1}!
GMCommands.Player.TargetRealmChanged:     {0} has changed your realm to {1}!
GMCommands.Player.ModelReset:             You changed {0} back to their original model.
GMCommands.Player.TargetModelReset:       {0} (PrivLevel: {1}) has changed your model back to its original creation model.
GMCommands.Player.ModelChanged:           You changed {0}'s form. (ID: #{1})
GMCommands.Player.TargetModelChanged:     {0} (PrivLevel: {1}) has changed your form. (ID: #{2})
GMCommands.Player.MoneyGiven:             You gave {0} {1}.
GMCommands.Player.TargetMoneyGiven:       {0} (PrivLevel: {1}) has given you some {2}.
GMCommands.Player.Currency.Copper:        copper
GMCommands.Player.Currency.Silver:        silver
GMCommands.Player.Currency.Gold:          gold
GMCommands.Player.Currency.Platinum:      platinum
GMCommands.Player.Currency.Mithril:       mithril
GMCommands.Player.PointsGiven:            You gave {0} {1} {2}.
GMCommands.Player.TargetPointsGiven:      {0} (PrivLevel: {1}) has given you {2} {3}.
GMCommands.Player.Point.RealmPoints:      realm points
GMCommands.Player.Point.Experience:       experience
GMCommands.Player.Point.ChampionExperience: Champion experience
GMCommands.Player.Point.MLExperience:     Master Level experience
GMCommands.Player.Point.BountyPoints:     bounty points
GMCommands.Player.ChampionLevelReached:   You reached champion level {0}!
GMCommands.Player.StatGiven:              You gave {0} {1} {2}.
GMCommands.Player.TargetStatGiven:        {0} (PrivLevel: {1}) has given you {2} {3}.
GMCommands.Player.Stat.Dexterity:         dexterity
GMCommands.Player.Stat.Strength:          strength
GMCommands.Player.Stat.Constitution:      constitution
GMCommands.Player.Stat.Empathy:           empathy
GMCommands.Player.Stat.Intelligence:      intelligence
GMCommands.Player.Stat.Piety:             piety
GMCommands.Player.Stat.Quickness:         quickness
GMCommands.Player.Stat.Charisma:          charisma
GMCommands.Player.Stat.All:               to all stats
GMCommands.Player.StatTypeUsage:          Try using dex, str, con, emp, int, pie, qui, cha, or all as the stat type.
GMCommands.Player.NeedValidTarget:        You need a valid target!
GMCommands.Player.FriendListTitle:        {0}'s Friend List
GMCommands.Player.TargetFriendRemoved:    {0} (PrivLevel: {1}) has removed {2} from your friend list!
GMCommands.Player.FriendRemoved:          Removed {0} from {1}'s friend list.
GMCommands.Player.NoOnlinePlayerNamed:    No players online with name {0}.
GMCommands.Player.CharacterNameNotUnique: Character name is not unique.
GMCommands.Player.CannotAddSelfFriend:    You can't add that player to their own friend list!
GMCommands.Player.TargetFriendAdded:      {0} (PrivLevel: {1}) has added {2} to your friend list!
GMCommands.Player.FriendAdded:            Added {0} to {1}'s friend list.
GMCommands.Player.TargetRespecAwarded:    {0} (PrivLevel: {1}) has awarded you {2} {3} respec.
GMCommands.Player.RespecAwarded:          {0} {1} respec awarded to {2}.
GMCommands.Player.Respec.Single:          single
GMCommands.Player.Respec.Full:            full
GMCommands.Player.Respec.Realm:           realm
GMCommands.Player.Respec.DOL:             DOL (full)
GMCommands.Player.Respec.Champion:        champion
GMCommands.Player.TargetCharacterSaved:   {0} (PrivLevel: {1}) has saved your character.
GMCommands.Player.CharacterSaved:         {0} saved.
GMCommands.Player.AllCharactersSaved:     Saved all characters!
GMCommands.Player.KickGMUseKickCommand:   Please use /kick <name> to kick Gamemasters. This prevents accidental kicks.
GMCommands.Player.TargetKickAll:          {0} (PrivLevel: {1}) has kicked all players!
GMCommands.Player.Resurrected:            You resurrected {0}.
GMCommands.Player.TargetResurrectedBy:    You have been resurrected by {0}!
GMCommands.Player.PlayerNotDead:          Player is not dead!
GMCommands.Player.ReviveSelf:             You revive yourself.
GMCommands.Player.YouAreNotDead:          You are not dead!
GMCommands.Player.RezSyntax:              SYNTAX: /player rez <albs|mids|hibs|all>
GMCommands.Player.CannotUseOnGamemasters: This command can not be used on Gamemasters!
GMCommands.Player.KilledPlayer:           You killed {0}.
GMCommands.Player.TargetKilledBy:         {0} has killed you!
GMCommands.Player.PlayerNotAlive:         Player is not alive!
GMCommands.Player.AlreadyDeadUseRezSelf:  You are already dead. Use /player rez <self> to resurrect yourself.
GMCommands.Player.KilledSelf:             Good bye cruel world!
GMCommands.Player.InvalidArgument:        '{0}' is not a valid argument.
GMCommands.Player.PlayersJumped:          {0} players jumped!
GMCommands.Player.PlayerUpdated:          {0} updated.
GMCommands.Player.SaddlebagsSet:          {0}'s active saddlebags set to 0x{1:X2}!
GMCommands.Player.TargetSaddlebagsSet:    Your active saddlebags have been set to 0x{0:X2} by {1}!
GMCommands.Player.ValidSaddlebagValues:   Valid saddlebag values are between 0 and 15!
GMCommands.Player.NoGroup:                Player does not have a group!
GMCommands.Player.GroupMembersTitle:      Group Members
GMCommands.Player.PositiveSpellEffects:   - Positive Spell Effects
GMCommands.Player.NegativeSpellEffects:   - Negative Spell Effects
GMCommands.Player.EffectCasterNone:       NONE
GMCommands.Player.EffectCasterSelf:       SELF
GMCommands.Player.SpellEffectLine:        -- {0} ({1}, level {2}): {3} (Caster), {4} seconds remaining
GMCommands.Player.PlayerEffectsTitle:     Player Effects
GMCommands.Player.ClassSyntax:            /player class <list|classID|className>
GMCommands.Player.ClassListTitle:         [Class IDs List]
GMCommands.Player.ClassNeedsTarget:       You must have a player target to use this command!
GMCommands.Player.ClassUseIdOrName:       You must use either the ID or the name of the class. Check /player class list.
GMCommands.Player.AreaDataQuestId:        : DataQuest ID: {0}
GMCommands.Player.AreaQuestStep:          , Area Quest Step = {0}
GMCommands.Player.AreaEligible:           , Eligible = {0}
GMCommands.Player.None:                   None
GMCommands.Player.All:                    All
GMCommands.Player.CurrentAreasTitle:      {0} - Current Areas
GMCommands.Player.InventoryNameLastname:  - Name Lastname: {0} {1}
GMCommands.Player.InventoryRealmLevelClass: - Realm Level Class: {0} {1} {2}
GMCommands.Player.InventoryWearing:       ----- Wearing:
GMCommands.Player.InventoryBackpack:      ----- Backpack:
GMCommands.Player.InventoryVault:         ----- Vault:
GMCommands.Player.InventoryHousing:       ----- Housing:
GMCommands.Player.InventoryConsignment:   ----- GameConsignmentMerchant:
GMCommands.Player.InventoryUnknownLimit:  Unknown command. Use wear | bag | vault | house | cons
GMCommands.Player.InventoryWindowTitle:   PLAYER INVENTORY LISTING
GMCommands.Player.InfoHeader:             PLAYER INFORMATION (Client # {0}, {1})
GMCommands.Player.InfoNameLastname:       - Name Lastname: {0} {1}
GMCommands.Player.InfoRealmLevelGenderClass: - Realm Level Gender Class: {0} {1} {2} {3} ({4})
GMCommands.Player.InfoGuild:              - Guild: {0} {1}
GMCommands.Player.InfoGuildRank:          Rank: {0}
GMCommands.Player.InfoPoints:             - XPs/RPs/BPs: {0} xp, {1} rp, {2} bp
GMCommands.Player.InfoChampion:           - Champion: CL {0}, {1} clxp
GMCommands.Player.SaddlebagLeftFront:     LeftFront
GMCommands.Player.SaddlebagRightFront:    RightFront
GMCommands.Player.SaddlebagLeftRear:      LeftRear
GMCommands.Player.SaddlebagRightRear:     RightRear
GMCommands.Player.InfoActiveSaddlebags:   - ActiveSaddleBags: {0} (0x{1:X2})
GMCommands.Player.InfoChampionNotStarted: - Champion: Not Started
GMCommands.Player.InfoMasterLevels:       - Master Levels: ML {0}, {1} mlxp, MLLine {2}
GMCommands.Player.InfoMasterLevelsNotStarted: - Master Levels: Not Started
GMCommands.Player.InfoCraftingSkill:      - Crafting skill: {0}
GMCommands.Player.InfoMoney:              - Money: {0}
GMCommands.Player.InfoModelId:            - Model ID: {0}
GMCommands.Player.InfoRegionOid:          - Region OID: {0}
GMCommands.Player.InfoAfkMessage:         - AFK Message: {0}
GMCommands.Player.InfoHouseHeader:        HOUSE INFORMATION
GMCommands.Player.InfoPersonalHouse:      - Personal House: {0}
GMCommands.Player.InfoCurrentHouse:       - Current House: {0}
GMCommands.Player.InfoInHouse:            - In House: {0}
GMCommands.Player.InfoAccountHeader:      ACCOUNT INFORMATION
GMCommands.Player.InfoAccountNameIp:      - Account Name & IP: {0} from {1}
GMCommands.Player.InfoPrivLevel:          - Priv. Level: {0}
GMCommands.Player.InfoClientVersion:      - Client Version: {0}
GMCommands.Player.InfoStatsHeader:        CHARACTER STATS
GMCommands.Player.InfoCurrentStats:       - Current stats {0}: {1}
GMCommands.Player.InfoCurrentValues:      - Current {0}: {1}
GMCommands.Player.InfoMaximumHealth:      - Maximum Health: {0}
GMCommands.Player.InfoCurrentAfAbs:       - Current AF and ABS: {0} AF, {1} ABS
GMCommands.Player.InfoSpeccingHeader:     SPECCING INFORMATION
GMCommands.Player.InfoRespecsAvailable:   - Respecs available: {0} dol, {1} single, {2} full
GMCommands.Player.InfoRemainingSpecPoints: - Remaining spec. points: {0}
GMCommands.Player.InfoPlayerSpecialisations: - Player specialisations:
GMCommands.Player.InfoWindowTitle:        PLAYER & ACCOUNT INFORMATION
KeepComponentInteract.DebugSelectedHookPoint: DEBUG: selected hookpoint ID {0}
Quest.Hardcore.ExemplifyBravery:          Exemplify bravery.
Quest.Hardcore.BraveWhenAfraid:           One wonders if it is possible to be brave when one is afraid.\nPerhaps, that is the only time that [one can be brave].
Quest.Hardcore.EarnedAnotherSunrise:      {0}. You have earned [another sunrise].
Quest.Hardcore.EnjoyMeal:                 Enjoy your meal. With luck, it shall not be your last.
Quest.Hardcore.FaceFears:                 Tell me, did you face your fears?
Quest.Hardcore.WatchYourBack:             Watch your back.
Quest.Hardcore.BraveWarning:              Be careful, the line between bravery and foolishness can be a thin one.
Quest.Hardcore.HuntOrBeHunted:            Hunt, or be hunted.
Quest.Hardcore.PredatorIntro:             The flash of steel's bite.\nOne stands above, one below.\n[Predator] eats well.
Quest.Hardcore.LookThemInEye:             Look them in the eye.
Quest.Hardcore.HuntOnlyOneEats:           Hunt, or be hunted. Only one shall eat this night.
Quest.Hardcore.DoneToday:                 Your deeds are done for today.
Quest.Hardcore.KillPlayerDescription:     Kill another player without dying.\nLife Taken: ({0} | {1})
Quest.Hardcore.KillNpcDescription:        Kill 25 mobs in a frontier zone.\nCreatures Killed: ({0} | {1})
Quest.Hardcore.ReturnToSucciAlb:          Return to Succi in Castle Sauvage for your grim reward.
Quest.Hardcore.ReturnToSucciMid:          Return to Succi in Svasud Faste for your grim reward.
Quest.Hardcore.ReturnToSucciHib:          Return to Succi in Druim Ligen for your grim reward.
Quest.Hardcore.EnemyKilled:               [Hardcore] Enemy Killed: ({0} | {1})
Quest.Common.DailyMonsterKilled:          [Daily] Monster Killed: ({0} | {1})
Quest.Common.WeeklyNamedKilled:           [Weekly] You killed {0}: ({1} | {2})
Quest.Common.MonthlyNamedKilled:          [Monthly] You killed {0}: ({1} | {2})
Quest.Common.MonthlyFindEnemiesOldFrontiers: [Monthly] You need to find enemies in the old frontiers.
Quest.Common.MonthlyEnemiesKilled:        [Monthly] Enemies Killed: ({0} | {1})
Quest.Common.MonthlyCapturedKeeps:        [Monthly] Captured Keeps: ({0} | {1})
Quest.Common.MonthlyCapturedRelic:        [Monthly] Captured Relic: ({0} | {1})
Quest.Common.PlayersKilledProgress:       {0}\nPlayers Killed: ({1} | {2})
Quest.Common.BattlegroundPlayersKilled:   You will find suitable players in the battlegrounds.\nPlayers Killed: ({0} | {1})
Quest.Common.FrontierOrBattlegroundPlayersKilled: You will find suitable players in the frontiers or in battlegrounds.\nPlayers Killed: ({0} | {1})
Quest.Common.PlacePlayersKilled:          You will find suitable players in {0}.\nPlayers Killed: ({1} | {2})
Quest.Common.KeepCaptureDescription:      Go to the battlefield and conquer a keep.\nCaptured: Keep ({0} | {1})
Quest.Common.ReturnToPazz:                Return to Pazz in {0} for your Reward.
Quest.Common.BGKillIntro:                 Hello {0}, I am Pazz. My master, Fen, has tasked me with collecting bones for a project he is working on. Kill suitable enemies and bring back what he needs.
Quest.Common.BGKeepIntro:                 Look {0}, I will cut to the chase. The battlefield needs someone bold enough to take a keep. Capture one and return for your reward.
Quest.Common.WeeklyDFMonsterTooLow:       [Weekly] Monsters Killed in Darkness Falls - needs a higher level monster to count
Quest.Common.WeeklyDFMonstersKilled:      [Weekly] Monsters Killed in Darkness Falls: ({0} | {1})
Quest.Common.WeeklyBossesKilled:          [Weekly] Bosses killed in {0}: ({1} | {2})
Quest.Common.NamedDailyKilled:            [Daily] {0} Killed: ({1} | {2})
Quest.Common.DailyRealmEnemyKilled:       [Daily] {0} Enemy Killed: ({1} | {2})
Quest.Common.WeeklyRealmEnemyKilled:      [Weekly] {0} Enemy Killed: ({1} | {2})
Quest.Common.TwoRealmPlayersKilled:       {0}\nPlayers Killed: {1} ({2} | {3})\nPlayers Killed: {4} ({5} | {6})
Quest.Common.SlayEnemyForces:             Head into the enemy frontiers and slay their forces.
Quest.Common.ReturnToNpc:                 Return to {0} for your Reward.
Quest.Common.ReturnToNpcLocation:         Return to {0} in {1} for your Reward.
Quest.Common.HelpNpcWithQuest:            Will you help {0} with {1}?
Quest.Common.HelpNpcQuest:                Will you help {0} {1}?
Quest.Common.DidYouToken:                 Hello {0}, did you {1}?
Quest.Common.ReyDailyBonesIntro:          Hello {0}, I am Rey. My master, Fen, has tasked me with collecting bones for a project he is working on. I am behind quota and could use your help.
Quest.Common.ReyExoticBonesIntro:         Hello {0}, I am Rey. My master, Fen, needs some exotic bones. Head into the frontiers and bring back what we need.
Quest.Common.ReyWeeklyBonesIntro:         You will not believe it, {0}. We have a bulk order for exotic bones too. Head into the enemy frontiers and slay their forces.
Quest.Common.EpicFrontierIntro:           Hello {0}, I am {1}. Large monsters have blocked the supply lines in our frontier, and I could use your help getting rid of them.
Quest.Common.EpicFrontierIntroFriends:    Hello {0}, I am {1}. Large monsters have blocked the supply lines in our frontier, and I could use your help getting rid of them.\nYou will probably need to gather friends for this. We have already lost many good soldiers.\n\nCan you support {2} and [kill the epic creatures] in frontiers?
Quest.Common.EpicFrontierReminder:        Please find the epic monsters in the frontiers and return for your reward.
Quest.Common.EpicFrontierDescription:     Find and slay the three dangerous epic monsters!\n{0}: ({1} | {2})\n{3}: ({4} | {5})\n{6}: ({7} | {8})
Quest.Common.ReyWeeklyBonesFlavor:        You will not believe it, {0}. We have a bulk order for exotic bones too. My workload is much too high, and I should ask for a raise. At least after you bring me a [bunch of toeknuckles].\n\nI have an order to fill, after all...
Quest.Common.ReyExoticBonesFlavor:        Hello {0}, I am Rey. My master, Fen, needs some exotic bones. They are not the sort we can get here in {1}, if you catch my meaning.\n\nCould you [take the toeknuckle] from one of our enemies for me?
Quest.Common.SlayEnemyForcesSpecific:     Head into the enemy frontiers and slay their forces. There are many {0} and {1} enemies, you will find them.
Quest.Common.WeeklyBossQuestIntro:        Hello {0}, I am {1}. An infiltrator reported that the forces in {2} are planning an attack.\nWe want to pre-empt them and [end their plotting] before they have the chance. Care to help?
Quest.Common.WeeklyBossQuestDescription:  Find a way to {0} and kill strong opponents.\nKilled: Bosses in {0} ({1} | {2})
Quest.Common.DailyDungeonMonsterIntro:    Hello {0}, I am {1}. An infiltrator reported that too many creatures are gathering in {2}.\nThin their numbers before they become a threat. Can you help with [clearing the way]?
Quest.Common.DailyDungeonMonsterDescription: Find a way to {0} and kill some monsters.\nKilled: Monsters in {0} ({1} | {2})
Quest.Common.DFMonsterIntro:              Hello {0}, I am {1}. I have received word that forces are building in Darkness Falls. Clear out as many demons as you can find, then return when the halls are purged of their influence.\n\nCan you [stop the invasion]?
Quest.Common.DFMonsterReminder:           Defend your realm, head into Darkness Falls and kill monsters for your reward.
Quest.Common.DFMonsterDescription:        Head into Darkness Falls and kill monsters for {0}.\nKilled: Monster ({1} | {2})
Quest.Common.DragonIntro:                 Hello {0}, I am {1}. I bring sad news today. {2} razed a small settlement in {3} last night.\nPlease help the king avenge their deaths and keep {4} safe from {2}'s influence.\n\nCan you support {4} and [kill the dragon]?
Quest.Common.DragonReminder:              Please find the dragon in {0} and defend our realm.
Quest.Common.DragonDescription:           Travel to {0} and slay {1} for {2}.\nKilled: {1} ({3} | {4})
Quest.Common.ReyWeeklyPlayerKillIntro:    Uh oh, {0}. It looks like Fen needs even more bones. Go demolish some skulls and bring back what we need.
Quest.Common.DFEnemyPrompt:               Please head into Darkness Falls and harvest parts from {0}'s enemies!
Quest.Common.DFEnemyIntro:                Oh, {0}, glad you finally returned. Boss has a new recipe that requires bones that have been steeped in a [demonic aura].\nI sure hope you know what that means, because I do not. My best guess is to try looking in Darkness Falls.
Quest.Common.DFEnemyReminder:             Find your realm's enemies in Darkness Falls and kill them for your reward.
Quest.Common.DFEnemyDescription:          Defend {0} in Darkness Falls.\nKilled: Enemies ({1} | {2})
Quest.Common.RvRMonsterObjective:         Kill creatures in any RvR zone to help us clear more room for the armies to maneuver around.
Quest.Common.RvRMonsterIntro:             Hello {0}, I am {1}. I serve the realm and ensure its borders are always protected. Kill yellow con or higher creatures in any RvR zone and return when the work is done.
Quest.Common.RvRMonsterThanks:            Thank you for helping our realm.
Quest.Common.RvRMonsterReminder:          Killing creatures in any RvR zone will work. Thanks for your service!
Quest.Common.RvRMonsterDescription:       Kill yellow con or higher mobs in any RvR zone.\nKilled: ({0} | {1})
Quest.Common.TeamBuildingIntro:           Hello {0}, I am {1}. I help the king with logistics, and he has tasked me with getting things done around here. Kill creatures in any RvR zone and help our forces move more freely.
Quest.Common.TeamBuildingComplete:        I can feel our realm growing more cohesive every day!
Quest.Common.TeamBuildingThanks:          Thank you for helping our realm prosper.
Quest.Common.TeamBuildingDescription:     The spirit of unity flows through you.\nCreatures Killed: ({0} | {1})
Quest.Common.TeamBuildingReadyDescription: The spirit of unity flows through you.\nKill orange con or higher mobs:\nOrange+ Con Mobs Killed: ({0} | {1})
Quest.Common.TeamBuildingMissingHeader:   Kill orange con or higher mobs while in a group containing the following base classes:\n
Quest.Common.TeamBuildingRequirement:     {0} required\n
Quest.Common.TeamBuildingKills:           Orange+ Con Mobs Killed: ({0} | {1})
Quest.Common.TeamBuildingFighter:         Fighter
Quest.Common.TeamBuildingAcolyte:         Acolyte
Quest.Common.TeamBuildingRogue:           Rogue
Quest.Common.TeamBuildingMageElemDisc:    Mage/Elementalist/Disciple
Quest.Common.TeamBuildingGuardian:        Guardian
Quest.Common.TeamBuildingNaturalist:      Naturalist
Quest.Common.TeamBuildingStalker:         Stalker
Quest.Common.TeamBuildingMagicianForester: Magician/Forester
Quest.Common.TeamBuildingViking:          Viking
Quest.Common.TeamBuildingSeer:            Seer
Quest.Common.TeamBuildingMystic:          Mystic
Quest.Common.MonthlyFrontierPrompt:       Hello {0}, did you succeed [capturing keeps and killing enemies]?
Quest.Common.MonthlyFrontierIntro:        Oh hey, {0}. The frontier needs order and security. Slay enemies and capture keeps for {1}, then return for your reward.
Quest.Common.MonthlyFrontierThanks:       Thank you for your help! {0} will thank you for your contribution.
Quest.Common.MonthlyFrontierStep1:        Hello {0}, you will find enemies in {1}, {2} or in our lands. Come back when you have killed enough enemies and taken keeps for our safety.
Quest.Common.DecidedToHelp:               Thank you for deciding to help.
Quest.Common.MonthlyFrontierDescription:  Defend your realm!\nSlay enemies in the frontiers and capture Keeps for {0}.\nPlayers Killed: ({1} | {2})\nCaptured Keeps: ({3} | {4})
Quest.Common.MonthlyEpicIntro:            Hello {0}, I am {1}. For several months the situation in {2} has changed. Dangerous epic creatures have grown bolder, and we need your help restoring order.
Quest.Common.MonthlyEpicReminder:         Please find the epic monsters in {0} and return for your reward.
Quest.Common.MonthlyEpicDescription:      Make your way and defeat the epic creatures in {0}!\n{1}: ({2} | {3})\n{4}: ({5} | {6})
Quest.Common.CaptureRelicObjective:       Encourage allies to conquer a relic keep in {0} or {1} and return the relic to your realm.
Quest.Common.CaptureRelicIntro:           Hello {0}. Our realm needs champions who can inspire allies to capture a relic. Conquer a relic keep in {1} or {2}, return the relic, then come back to me.
Quest.Common.CaptureRelicDescription:     Encourage allies to conquer a relic keep in {0} or {1} and return the relic to your realm.\nCaptured: Relic ({2} | {3})
Quest.Common.CaptureKeepIntro:            Hello {0}, I am {1}. Our armies will be pushing the frontier border soon, and I need your assistance securing a foothold.
Quest.Common.TrueGuardianRealm:           Thank you {0}, you are a true guardian of {1}!
Quest.Common.TrueFighterRealm:            Thank you {0}, you are a true fighter of {1}!
Quest.Common.NamedMobLocation:            You will find {0} in {1}.
Quest.Common.NamedMobDescription:         Find {0} in {1}.\nKilled: {0} ({2} | {3})
Quest.Common.NamedMobDailyIntro:          Hello {0}, I am {1}. {2} in {3} are threatening {4}. Can you [{5}]?
Quest.Common.ContinueQuestWork:           Good, now go out there and finish your work!
Quest.Common.ContinueBloodshed:           Good, now go out there and shed some blood!
Quest.Common.ContinueSlayCreatures:       Good, now go out there and slay those creatures!
Quest.Common.ContinueScoutDragon:         Good, now go out there and scout the dragon!
Quest.Common.SubscribePrompt:             Will you undertake {0}?
Quest.Common.AbortingQuestRestart:        Aborting Quest {0}. You can start over again if you want.
Quest.Common.AbortingQuest:               Aborting Quest {0}.
Quest.Hardcore.OrangeIntro:               {0}. I have seen visions of your death. Crushed beneath the blow of a mighty foe. Dashed against the rocks of eternity.\nWill you defy them? Stand tall and let the spirits know [today is not the day].
Quest.Hardcore.OrangeDescription:         Kill mobs orange con or higher.\nOrange Con Monsters Killed: ({0} | {1})
Quest.Hardcore.ReturnToSucciAlbReward:    Return to Succi in Castle Sauvage for your Reward.
Quest.Hardcore.ReturnToSucciMidReward:    Return to Succi in Svasud Faste for your Reward.
Quest.Hardcore.ReturnToSucciHibReward:    Return to Succi in Druim Ligen for your Reward.

# Albion classic quests
Quest.Albion.ImmediateResolution.GuardAssist: If you wish to assist us in our defense we would welcome it.
Quest.Albion.ImmediateResolution.GuardPrepare: Prepare yourselves!
Quest.Albion.ImmediateResolution.StewardChosen: You have been chosen to assist us in delivering [a message]. I'm sure it will be worth your time.
Quest.Albion.ImmediateResolution.StewardMessage: Here! There is a large bridge to the northeast of this keep. It leads to the northern regions and then on into the frontier lands. You will take this message to the guards at the opposite side of the bridge. They are about to be [attacked] so you must hurry!
